priority_score,puzzle_count,ogs_id,status,slug_generated,slug_unidecode,cleaned_name,original_name,unidecode_name,tier,matched_to
0.5694,13,5718,new_entry,living-eye-shapes,dian-bu-si-de-qi-xing-living-eye-shapes,點不死的棋型 Living eye shapes,點不死的棋型　Living eye shapes,Dian Bu Si De Qi Xing  Living eye shapes,premier,
0.5688,51,3249,new_entry,elementary-problems,elementary-problems,Elementary problems,Elementary problems,Elementary problems,premier,
0.5684,37,2334,new_entry,problema-de-cho-chikun,problema-de-cho-chikun,Problema de Cho Chikun,Problema de Cho Chikun,Problema de Cho Chikun,premier,
0.5675,160,5744,already_matched,yamada-kimio,yamada-kimio-zhi-gan-li-woduan-eru-wei-qi-shi-zhan-shou-jin-wei,Yamada Kimio — 直感力を鍛える 囲碁・実戦手筋 (囲碁人ブックス),Yamada Kimio — 直感力を鍛える 囲碁・実戦手筋 (囲碁人ブックス),Yamada Kimio -- Zhi Gan Li woDuan eru Wei Qi *Shi Zhan Shou Jin  (Wei Qi Ren butsukusu),premier,yamada-tsumego-collection
0.5675,102,10496,new_entry,cho-chikun-an-encyclopedia-of-life-death-for-beginners,cho-chikun-an-encyclopedia-of-life-death-for-beginners,"Cho Chikun ""An Encyclopedia of Life & Death"" - for Beginners","Cho Chikun's ""An Encyclopedia of Life & Death"" - for Beginners","Cho Chikun's ""An Encyclopedia of Life & Death"" - for Beginners",premier,
0.5674,304,3171,already_matched,utaro-hashimoto-koyama-yasuo-a-selection-of-kanzufu-1-1981-isbn4,utaro-hashimoto-koyama-yasuo-a-selection-of-kanzufu-1-1981-isbn4,Utaro Hashimoto & Koyama Yasuo - A selection of Kanzufu (1) 1981 ISBN4-381-00568-6,Utaro Hashimoto & Koyama Yasuo - A selection of Kanzufu (1) 1981 ISBN4-381-00568-6  [Atorrante],Utaro Hashimoto & Koyama Yasuo - A selection of Kanzufu (1) 1981 ISBN4-381-00568-6  [Atorrante],premier,guanzi-pu
0.567,51,3004,new_entry,madgo-hkgca-life-death-for-beginners,madgo-hkgca-life-death-for-beginners-chu-jie-si-huo,Madgo(HKGCA)_Life & Death for Beginners(初階死活),Madgo(HKGCA)_Life & Death for Beginners(初階死活),Madgo(HKGCA)_Life & Death for Beginners(Chu Jie Si Huo ),premier,
0.5664,38,6584,new_entry,basic-course-level-1,basic-course-level-1,Basic Course Level 1,Basic Course Level 1 [Go Squared Education],Basic Course Level 1 [Go Squared Education],premier,
0.5659,13,1549,new_entry,les-bases-du-go,les-bases-du-go,Les bases du go,Les bases du go,Les bases du go,premier,
0.5656,14,158,new_entry,essential-joseki,essential-joseki,Essential Joseki,Essential Joseki,Essential Joseki,premier,
0.5647,41,3643,new_entry,madgo-hkgca-tesuji-for-pre-intermediate,madgo-hkgca-tesuji-for-pre-intermediate-jin-jie-shou-jin,Madgo(HKGCA)_Tesuji for Pre-Intermediate (進階手筋),Madgo(HKGCA)_Tesuji for Pre-Intermediate (進階手筋),Madgo(HKGCA)_Tesuji for Pre-Intermediate (Jin Jie Shou Jin ),premier,
0.5645,76,2972,new_entry,101weiqi-cutting,101weiqi-cutting,101Weiqi : Cutting,101Weiqi : Cutting,101Weiqi : Cutting,premier,
0.5645,160,62,new_entry,encyclopedia-of-life-and-death-part-second,encyclopedia-of-life-and-death-part-second,Encyclopedia of life and death part second,Encyclopedia of life and death part second,Encyclopedia of life and death part second,premier,
0.5644,224,10938,new_entry,o-g-s-learn-to-play-go-part-6-23-6-47,o-g-s-learn-to-play-go-part-6-23-6-47,O.G.S.: Learn to play go part 6.23 ~ 6.47,O.G.S.: Learn to play go part 6.23 ~ 6.47 [Atorrante],O.G.S.: Learn to play go part 6.23 ~ 6.47 [Atorrante],premier,
0.5642,187,10871,new_entry,o-g-s-learn-to-play-go-part-5-1-5-12,o-g-s-learn-to-play-go-part-5-1-5-12,O.G.S.: Learn to play go part 5.1 ~ 5.12,O.G.S.: Learn to play go part 5.1 ~ 5.12 [Atorrante],O.G.S.: Learn to play go part 5.1 ~ 5.12 [Atorrante],premier,
0.5635,293,10853,new_entry,o-g-s-learn-to-play-go-part-4-14-4-37,o-g-s-learn-to-play-go-part-4-14-4-37,O.G.S.: Learn to play go part 4.14 ~ 4.37,O.G.S.: Learn to play go part 4.14 ~ 4.37 [Atorrante],O.G.S.: Learn to play go part 4.14 ~ 4.37 [Atorrante],premier,
0.5634,100,9904,new_entry,mypractice,mypractice,MyPractice,MyPractice,MyPractice,premier,
0.5634,195,7619,new_entry,ogs-3,tesudzi-3-semeai,Тэсудзи 3 Сэмэай,Тэсудзи 3 Сэмэай,Tesudzi 3 Semeai,premier,
0.5633,205,4655,new_entry,fundamentals,fundamentals-gen-ben,Fundamentals (根本),Fundamentals (根本),Fundamentals (Gen Ben ),premier,
0.5633,20,817,already_matched,endgame-tesuji,endgame-tesuji,Endgame Tesuji,Endgame Tesuji,Endgame Tesuji,premier,endgame-problems
0.5631,317,9621,new_entry,10,igra-po-forme-10kiu,"игра по форме, 10кю+","игра по форме, 10кю+","igra po forme, 10kiu+",premier,
0.563,22,435,new_entry,colecci-n-tutorial-en-espa-ol,coleccion-tutorial-en-espanol,Colección Tutorial en español,Colección Tutorial en español,Coleccion Tutorial en espanol,premier,
0.5628,40,6056,new_entry,by-krun,cchabkinebuue-ngtn-by-krun,จับกินเบื้องต้น By Krun,จับกินเบื้องต้น By Krun,cchabkinebuue`ngtn By Krun,premier,
0.5626,13,5721,new_entry,makes-eyes,zuo-yan-makes-eyes,做眼 Makes eyes,做眼　Makes eyes,Zuo Yan  Makes eyes,premier,
0.5622,50,10027,new_entry,joseki-for-beginners-12-1-ddk-to-sdk-each-in-4-parts-learn-black,joseki-for-beginners-12-1-ddk-to-sdk-each-in-4-parts-learn-black,"Joseki for Beginners (12+1, DDK to SDK, Each in 4 parts: Learn, Black, White, Both)","Joseki for Beginners (12+1, DDK to SDK, Each in 4 parts: Learn, Black, White, Both)","Joseki for Beginners (12+1, DDK to SDK, Each in 4 parts: Learn, Black, White, Both)",premier,
0.5617,12,6222,new_entry,ai-revolutionary-ai-jouseki,aige-ming-xing-de-xin-ding-shi-revolutionary-ai-jouseki,AI革命性的新定式 Revolutionary AI jouseki,AI革命性的新定式 Revolutionary AI jouseki,AIGe Ming Xing De Xin Ding Shi  Revolutionary AI jouseki,premier,
0.5615,35,7713,new_entry,crush-oshi-tsubushi-14-kyu-10-kyu,crush-oshi-tsubushi-14-kyu-10-kyu,Crush (Oshi-tsubushi) 14 kyu-10 kyu,Crush (Oshi-tsubushi) 14 kyu-10 kyu,Crush (Oshi-tsubushi) 14 kyu-10 kyu,premier,
0.5611,83,9327,new_entry,challenging-puzzles,challenging-puzzles,Challenging puzzles!,Challenging puzzles!,Challenging puzzles!,premier,
0.5608,46,1232,new_entry,pregame-prep,pregame-prep,PREGAME PREP,PREGAME PREP,PREGAME PREP,premier,
0.5606,12,655,new_entry,beginner-guide,beginner-guide,beginner guide,beginner's guide,beginner's guide,premier,
0.5605,12,3344,new_entry,reglas-b-sicas-aago,reglas-basicas-aago,REGLAS BÁSICAS AAGO,REGLAS BÁSICAS AAGO,REGLAS BASICAS AAGO,premier,
0.56,19,10302,new_entry,probl-me-pour-d-butant,probleme-pour-debutant,problème pour débutant,problème pour débutant,probleme pour debutant,premier,
0.5592,23,1858,new_entry,beginning-shapes,beginning-shapes,Beginning Shapes,Beginning Shapes,Beginning Shapes,premier,
0.5581,34,160,new_entry,apprendre-les-bases-du-go-en-fran-ais,apprendre-les-bases-du-go-en-francais,Apprendre les bases du go (en Français),Apprendre les bases du go (en Français),Apprendre les bases du go (en Francais),premier,
0.5579,12,5589,new_entry,1200igo-quiz3,1200igo-quiz3,1200igo Quiz3,1200igo Quiz3,1200igo Quiz3,premier,
0.5574,41,1035,already_matched,cho-chikun-encyclopedia-of-life-and-death-intermediate,cho-chikun-encyclopedia-of-life-and-death-intermediate,Cho Chikun Encyclopedia of Life and Death : Intermediate,Cho Chikun's Encyclopedia of Life and Death : Intermediate,Cho Chikun's Encyclopedia of Life and Death : Intermediate,premier,cho-chikun-life-death-intermediate
0.5574,400,5311,new_entry,go-world-problems-incomplete-1999,go-world-problems-incomplete-1999,Go World Problems (incomplete >1999),Go World Problems (incomplete >1999) [Atorrante],Go World Problems (incomplete >1999) [Atorrante],premier,
0.5572,200,7631,new_entry,yang-yilun-ingenious-life-death-puzzles-vol-1-2,yang-yilun-ingenious-life-death-puzzles-vol-1-2,Yang Yilun Ingenious Life & Death Puzzles Vol 1 + 2,Yang Yilun's Ingenious Life & Death Puzzles Vol 1 + 2 [Atorrante],Yang Yilun's Ingenious Life & Death Puzzles Vol 1 + 2 [Atorrante],premier,
0.5572,74,6852,new_entry,lets-go,lets-go,LETS GO,LETS GO,LETS GO,premier,
0.557,13,6045,already_matched,value-of-yose,guan-zi-da-xiao-value-of-yose,官子大小 Value of yose,官子大小 Value of yose,Guan Zi Da Xiao  Value of yose,premier,endgame-problems
0.5569,24,6072,new_entry,basic-by-krun,tad-echuue-m-basic-by-krun,ตัด/เชื่อม Basic By Krun,ตัด/เชื่อม Basic By Krun,tad/echuue`m Basic By Krun,premier,
